method,metric,reported,recomputed,delta,status
Best-of-K,executable_rate,0.91,0.91,0.0,OK
Best-of-K,optimal_rate,0.85,0.85,0.0,OK
Best-of-K,objective_accuracy,0.75,0.75,0.0,OK
Best-of-K,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
Best-of-K,inventory_balance_accuracy,1.0,1.0,0.0,OK
Best-of-K,constraint_coverage,0.8875,0.8875,0.0,OK
Best-of-K,average_runtime_sec,0.0814,0.08140620609628968,6.206096289679275e-06,OK
Best-of-K,average_repair_feedback_count,0.18,0.18,0.0,OK
Consensus only,executable_rate,0.91,0.91,0.0,OK
Consensus only,optimal_rate,0.85,0.85,0.0,OK
Consensus only,objective_accuracy,0.73,0.73,0.0,OK
Consensus only,structure_completeness,0.7509,0.750894444444444,-5.55555555603604e-06,OK
Consensus only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Consensus only,constraint_coverage,0.8875,0.8875,0.0,OK
Consensus only,average_runtime_sec,0.0803,0.080341006880044,4.10068800440061e-05,OK
Consensus only,average_repair_feedback_count,0.18,0.18,0.0,OK
Direct,executable_rate,0.89,0.89,0.0,OK
Direct,optimal_rate,0.81,0.81,0.0,OK
Direct,objective_accuracy,0.69,0.69,0.0,OK
Direct,structure_completeness,0.7354,0.7353994047619041,-5.952380959239889e-07,OK
Direct,inventory_balance_accuracy,1.0,1.0,0.0,OK
Direct,constraint_coverage,0.8688,0.86875,-4.999999999999449e-05,OK
Direct,average_runtime_sec,0.0847,0.08467722187866457,-2.277812133542889e-05,OK
Direct,average_repair_feedback_count,0.17,0.17,0.0,OK
ReplenishVerifier-Full,executable_rate,0.91,0.91,0.0,OK
ReplenishVerifier-Full,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-Full,objective_accuracy,0.74,0.74,0.0,OK
ReplenishVerifier-Full,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
ReplenishVerifier-Full,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-Full,constraint_coverage,0.8875,0.8875,0.0,OK
ReplenishVerifier-Full,average_runtime_sec,0.0855,0.0855314682185417,3.146821854169146e-05,OK
ReplenishVerifier-Full,average_repair_feedback_count,0.18,0.18,0.0,OK
ReplenishVerifier-TypeAware,executable_rate,0.89,0.89,0.0,OK
ReplenishVerifier-TypeAware,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-TypeAware,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-TypeAware,structure_completeness,0.7403,0.740297222222222,-2.777777777906998e-06,OK
ReplenishVerifier-TypeAware,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware,constraint_coverage,0.87,0.87,0.0,OK
ReplenishVerifier-TypeAware,average_runtime_sec,0.0804,0.08037188921764027,-2.8110782359730413e-05,OK
ReplenishVerifier-TypeAware,average_repair_feedback_count,0.16,0.16,0.0,OK
ReplenishVerifier-TypeAware-Consensus,executable_rate,0.89,0.89,0.0,OK
ReplenishVerifier-TypeAware-Consensus,optimal_rate,0.85,0.85,0.0,OK
ReplenishVerifier-TypeAware-Consensus,objective_accuracy,0.72,0.72,0.0,OK
ReplenishVerifier-TypeAware-Consensus,structure_completeness,0.7403,0.740297222222222,-2.777777777906998e-06,OK
ReplenishVerifier-TypeAware-Consensus,inventory_balance_accuracy,1.0,1.0,0.0,OK
ReplenishVerifier-TypeAware-Consensus,constraint_coverage,0.87,0.87,0.0,OK
ReplenishVerifier-TypeAware-Consensus,average_runtime_sec,0.0804,0.08037188921764027,-2.8110782359730413e-05,OK
ReplenishVerifier-TypeAware-Consensus,average_repair_feedback_count,0.16,0.16,0.0,OK
Solver only,executable_rate,0.91,0.91,0.0,OK
Solver only,optimal_rate,0.85,0.85,0.0,OK
Solver only,objective_accuracy,0.74,0.74,0.0,OK
Solver only,structure_completeness,0.7508,0.7508309523809519,3.095238095185415e-05,OK
Solver only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Solver only,constraint_coverage,0.8875,0.8875,0.0,OK
Solver only,average_runtime_sec,0.0802,0.08017485634947662,-2.5143650523376526e-05,OK
Solver only,average_repair_feedback_count,0.18,0.18,0.0,OK
Structure only,executable_rate,0.91,0.91,0.0,OK
Structure only,optimal_rate,0.85,0.85,0.0,OK
Structure only,objective_accuracy,0.74,0.74,0.0,OK
Structure only,structure_completeness,0.7552,0.7552257936507933,2.5793650793359824e-05,OK
Structure only,inventory_balance_accuracy,1.0,1.0,0.0,OK
Structure only,constraint_coverage,0.8875,0.8875,0.0,OK
Structure only,average_runtime_sec,0.0854,0.08544953194912523,4.953194912522829e-05,OK
Structure only,average_repair_feedback_count,0.18,0.18,0.0,OK
